question,optionA,optionB,optionC,answer
What is longest measure of length,Meter,Foot,Inch,Mile
What is shortest measure of time,Minute,Milisecond,Lightyear,Attosecond
Which of these is a citrus fruit,Pineapple,Strawberry,Apricot,Orange
Which is the closest planet to the sun,Earth,Mars,Venus,Mercury
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
What is longest measure of length,Meter,Foot,Inch,Mile
